id,X,Y,M,V
2800,-60.869797,-129.3306,86.98347,0.9001823
2801,98.41087,25.940525,109.40572,0.4532736
2802,-50.851444,70.3397,82.388405,0.6304985
2803,-80.84921,-185.2433,44.60569,0.33423755
2804,273.15576,52.67399,78.523224,0.5515388
2805,-48.040436,-314.59552,70.254814,0.81299686
2806,-370.71268,214.1456,134.01357,0.71758604
2807,78.350365,-150.05518,60.766094,0.87264895
2808,337.2949,-96.633224,60.455917,0.5691839
2809,233.9982,-75.63182,157.81483,0.40731165
2810,-211.64653,238.3527,160.95773,0.93989295
2811,180.52621,40.002525,96.23645,0.31407428
2812,148.17928,226.86035,64.245384,0.87942135
2813,114.66624,-23.645418,81.25362,0.28331423
2814,195.45955,-161.08754,95.40457,0.40356848
2815,-180.28879,-85.63523,119.08616,0.8919048
2816,49.261154,-179.86943,85.75533,0.46648785
2817,-58.129173,-71.90285,80.50536,0.7670331
2818,-80.389656,-374.12836,93.06627,0.548939
2819,69.52326,37.383602,135.326,0.5392143
2820,92.59888,-79.35542,89.77429,0.97350156
2821,294.16376,-166.29659,54.50308,0.202775
2822,47.93107,-285.43988,79.88914,0.3655784
2823,254.81311,-135.61775,95.06605,0.44142962
2824,358.38998,-122.83765,138.98836,0.46760213
2825,-33.609173,-16.265865,81.441864,0.47959587
2826,113.20859,160.81447,82.80631,0.67777807
2827,55.940674,57.903976,76.37794,0.72736937
2828,-271.49478,290.35394,95.53236,0.8301643
2829,-287.81976,-107.43027,44.536575,0.46999118
2830,-164.0581,-50.353527,69.08945,0.53107876
2831,-276.43625,273.3205,71.238785,0.87085724
2832,-44.258274,-59.529613,46.82938,0.48598903
2833,-238.57056,-153.8125,131.18698,0.8070334
2834,-94.55421,-37.57711,107.41028,0.7839197
2835,-263.30057,-213.70096,91.91706,0.8615025
2836,201.9997,46.539265,63.01097,0.65383095
2837,170.91508,-75.67285,95.16985,0.58839536
2838,-274.45102,-70.88671,118.51877,0.42379978
2839,-12.96873,-32.48556,57.366146,0.3805846
2840,366.2612,152.1425,85.85403,0.34149253
2841,-19.052778,-200.57417,73.61966,0.62723196
2842,-27.794426,310.7795,136.4202,0.7570313
2843,-173.54338,-115.24652,128.4205,0.32051796
2844,254.32587,24.258884,150.07791,0.46508998
2845,-20.090914,-231.50427,63.894432,0.30870867
2846,250.45772,-162.5262,71.86384,0.32619643
2847,13.538829,-47.10856,134.19678,0.8430938
2848,-49.228134,-239.80371,132.33034,0.48137024
2849,3.7539756,-193.7788,56.343056,0.65562826
2850,214.76106,-38.810978,48.354324,0.3473245
2851,180.05405,-286.6966,124.66041,0.81052005
